time	type	x	y	vel	rot_spd
0	star	512	-100	250	40
500	star	512	-100	250	50
1000	star	512	-100	250	60
1500	star	512	-100	250	70
2000	star	512	-100	250	80
2500	star	512	-100	250	90
3000	star	512	-100	250	100
3500	star	512	-100	250	110
4000	star	512	-100	250	120
4500	star	512	-100	250	130
5000	star	512	-100	250	140
5500	star	512	-100	250	150
6000	star	512	-100	250	160
6500	star	512	-100	250	170
7000	star	512	-100	250	180
7500	star	512	-100	250	190
8000	star	512	-100	250	200
8500	star	512	-100	250	210
9000	star	512	-100	250	220
9500	star	512	-100	250	230
10000	star	512	-100	250	240
