time	type	x	y	speed	rot_spd
0	l_blast	1174	397
1500	star	190	-100	316	272
3000	star	411	-100	388	261
4500	star	215	-100	256	346
6000	star	637	-100	466	274
7500	star	193	-100	309	87
9000	l_blast	-150	395
10500	star	808	-100	171	113
12000	star	922	-100	198	116
13500	star	472	-100	246	76
15000	star	609	-100	331	173
16500	l_blast	1174	125
18000	star	286	-100	265	135
19500	star	708	-100	139	57
21000	star	366	-100	299	1
22500	star	332	-100	256	279
24000	star	110	-100	376	69
25500	b_hole	339	256	115
27000	b_hole	583	361	39
28500	star	882	-100	144	155
30000	star	428	-100	368	158
31500	star	690	-100	231	136
33000	l_blast	1174	512
34500	star	297	-100	179	43
36000	l_blast	1174	569
37500	star	497	-100	246	188
39000	star	796	-100	453	82
40500	l_blast	-150	140
42000	star	462	-100	144	185
43500	star	499	-100	174	281
45000	star	915	-100	268	259
46500	l_blast	1174	101
48000	l_blast	-150	236
49500	l_blast	1174	392
51000	star	747	-100	424	106
57000	win
